,0,1,2,3,,,,,,,,
0,-0.012813355,-0.481875814,-0.817896045,0.103142656,,,,,,,,
1,0.389847845,-0.732683806,-0.868703859,-0.015080026,,,,,,,,
2,0.279614969,-0.754137831,-0.709498944,-0.032949303,,,,,,,,
3,0.116229299,-0.785095512,-0.754125364,0.189521097,,,,,,,,
4,-0.707379633,0.877388477,-0.604148783,-0.738910491,,,,,,,,
5,-0.674121696,0.74577892,-0.499008984,-0.741205624,,,,,,,,
6,-0.6355351,1.164860854,-0.6488325,-1.033144968,,,,,,,,
7,-0.648766429,0.962200125,-0.451991271,-1.035877776,,,,,,,,
8,-0.858419386,-0.553581236,0.815184769,-0.636977061,,,,,,,,
9,-0.867135003,-0.606134185,0.922033197,-0.633920883,,,,,Label (Storage Condition),,,
10,-0.824670627,-0.451107122,0.693137301,-0.607115475,,,,Sample ID,2_8degC,RT,BHT,-20degC
11,-0.2973454,-0.787298058,-0.692344102,0.571159629,,,,0,-0.012813355,-0.481875814,-0.817896045,0.103142656
12,-0.051808687,-0.829574461,-0.537422784,0.217113437,,,,1,0.389847845,-0.732683806,-0.868703859,-0.015080026
13,0.244961585,-0.797978452,-0.677637301,0.007682567,,,,2,0.279614969,-0.754137831,-0.709498944,-0.032949303
14,0.347353938,-1.179605953,-0.568751155,0.145155087,,,,3,0.116229299,-0.785095512,-0.754125364,0.189521097
,,,,,,,,4,-0.707379633,0.877388477,-0.604148783,-0.738910491
,,,,,,,,5,-0.674121696,0.74577892,-0.499008984,-0.741205624
,,,,,,,,6,-0.6355351,1.164860854,-0.6488325,-1.033144968
,,,,,,,,7,-0.648766429,0.962200125,-0.451991271,-1.035877776
,,,,,,,,8,-0.858419386,-0.553581236,0.815184769,-0.636977061
,,,,,,,,9,-0.867135003,-0.606134185,0.922033197,-0.633920883
,,,,,,,,10,-0.824670627,-0.451107122,0.693137301,-0.607115475
,,,,,,,,11,-0.2973454,-0.787298058,-0.692344102,0.571159629
,,,,,,,,12,-0.051808687,-0.829574461,-0.537422784,0.217113437
,,,,,,,,13,0.244961585,-0.797978452,-0.677637301,0.007682567
,,,,,,,,14,0.347353938,-1.179605953,-0.568751155,0.145155087
